country_code,country,region,overall_score
CPV,Cabo Verde,Sub-Saharan Africa,68.83571071
OMN,Oman,MENA,
TKM,Turkmenistan,E. Europe & C. Asia,68.46722124
SUR,Suriname,LAC,68.24533686
MUS,Mauritius,Sub-Saharan Africa,67.9773422
SAU,Saudi Arabia,MENA,67.69215149
LBN,Lebanon,MENA,67.52014468
GUY,Guyana,LAC,67.39975115
PAN,Panama,LAC,67.32492941
PHL,Philippines,East & South Asia,67.14368186
NPL,Nepal,East & South Asia,66.46962887
QAT,Qatar,MENA,66.23854149
BGD,Bangladesh,East & South Asia,65.91095145
BRN,Brunei Darussalam,East & South Asia,65.70781891
KHM,Cambodia,East & South Asia,64.8362397
NIC,Nicaragua,LAC,64.79990658
IRQ,Iraq,MENA,64.79264473
MNG,Mongolia,East & South Asia,64.69436642
BLZ,Belize,LAC,64.59998318
KWT,Kuwait,MENA,64.43399278
NAM,Namibia,Sub-Saharan Africa,64.28167339
ZAF,South Africa,,64.0031979
BHR,Bahrain,MENA,63.74123939
IND,India,East & South Asia,63.44921401
GAB,Gabon,Sub-Saharan Africa,63.092157
TTO,Trinidad and Tobago,LAC,62.98199761
LAO,Lao PDR,East & South Asia,62.96379588
HND,Honduras,LAC,62.94584397
VEN,"Venezuela, RB",LAC,62.88269669
BWA,Botswana,Sub-Saharan Africa,62.73762598
STP,Sao Tome and Principe,Sub-Saharan Africa,62.73294667
CIV,Cote d'Ivoire,Sub-Saharan Africa,62.25928754
SEN,Senegal,Sub-Saharan Africa,61.8294028
GHA,Ghana,Sub-Saharan Africa,61.79869089
KEN,Kenya,Sub-Saharan Africa,60.91303634
BHS,"Bahamas, The",LAC,60.8605604
MMR,Myanmar,East & South Asia,60.44313051
RWA,Rwanda,Sub-Saharan Africa,60.19805602
GTM,Guatemala,LAC,59.38309832
PAK,Pakistan,East & South Asia,58.96764175
GMB,"Gambia, The",Sub-Saharan Africa,58.30157717
SYR,Syrian Arab Republic,MENA,58.18092091
MLI,Mali,Sub-Saharan Africa,57.98284701
SWZ,Eswatini,Sub-Saharan Africa,57.85070876
MRT,Mauritania,Sub-Saharan Africa,57.23236891
TZA,Tanzania,Sub-Saharan Africa,56.83294186
MWI,Malawi,Sub-Saharan Africa,56.29572536
TGO,,Sub-Saharan Africa,56.26487556
SLE,Sierra Leone,Sub-Saharan Africa,55.66940203
ZWE,Zimbabwe,Sub-Saharan Africa,55.60229222
CMR,Cameroon,Sub-Saharan Africa,55.14965887
BEN,Benin,Sub-Saharan Africa,55.1176285
UGA,Uganda,Sub-Saharan Africa,55.02406478
GIN,Guinea,Sub-Saharan Africa,54.88727619
LSO,Lesotho,Sub-Saharan Africa,54.86989377
ETH,Ethiopia,Sub-Saharan Africa,54.54639699
ZMB,Zambia,Sub-Saharan Africa,54.28413607
NGA,Nigeria,Sub-Saharan Africa,54.27087045
BDI,Burundi,Sub-Saharan Africa,53.91146653
PNG,Papua New Guinea,Oceania,53.60445304
MOZ,Mozambique,Sub-Saharan Africa,52.68726507
DJI,Djibouti,Sub-Saharan Africa,52.67871036
COG,"Congo, Rep.",Sub-Saharan Africa,52.63154388
HTI,Haiti,LAC,52.57651422
BFA,Burkina Faso,Sub-Saharan Africa,52.44550392
COM,Comoros,Sub-Saharan Africa,51.73064216
AGO,Angola,Sub-Saharan Africa,50.81798457
MDG,Madagascar,Sub-Saharan Africa,50.25456036
LBR,Liberia,Sub-Saharan Africa,49.88381024
AFG,Afghanistan,E. Europe & C. Asia,49.00560144
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,48.58170068
SDN,Sudan,Sub-Saharan Africa,48.5525944
NER,Niger,Sub-Saharan Africa,48.30976092
SOM,,Sub-Saharan Africa,48.02723119
,"Yemen, Rep.",MENA,46.84698025
TCD,Chad,Sub-Saharan Africa,45.34232094
CAF,Central African Republic,,40.39583943
SSD,South Sudan,Sub-Saharan Africa,38.67608607
